State,District,Basin,Sub_Basin,Station_Name,Station_Type,Date,Month,Year,Agency_name,Latitude,Longitude,_24d,_as,_do,aldrin,alk_phen,alk_tot,b,barium,bhc,bod,bod3_27,ca,carbon_14,cd,chlf_a,cl,cn,co3,cocci,cod,cr,cu,data_gov_update_date,ddt,dieldrin,do_sat_,ec_fld,ec_gen,endos,f,fcol_mpn,fe,har_ca,har_mg,har_total,hco3,hg,k,mg,na,na_,nh3_n,ni,no2_n,no2_no3,no3_n,o_po4_p,org_n,p_tot,pah,pb,ph_fld,ph_gen,rsc,sar,secchi,sio2,sio3,so4,ss,tcol_mpn,tds,temp,toc,ts,turb,zn,_401,ag,al,colour_cod,d_o,d_o_,mn,odour_code,oxygen_18,pcb,ph,phenols,radon,se,strontium,tritium,uranium,no2__n,caco3,mgcaco3
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-01-17 15:22:00,01,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-04-17 15:09:00,04,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-06-17 15:11:00,06,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2012-07-02 14:46:00,07,2012,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,0,136.1999969482,NA,NA,NA,NA,2.5999999046,NA,NA,NA,NA,23.75,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.1999998093,NA,302,NA,0.25,NA,NA,32,2.9000000954,NA,136.1999969482,NA,5,NA,24,NA,NA,NA,0.1899999976,0.1899999976,NA,NA,NA,NA,NA,NA,NA,7.8400001526,0.8899999857,NA,NA,NA,NA,0,NA,NA,144,30,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2012-08-19 15:00:00,08,2012,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,0,136.1999969482,NA,NA,NA,NA,2.4000000954,NA,NA,NA,NA,23.75,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.4000000954,NA,298,NA,0.25,NA,NA,32,2.9000000954,104,136.1999969482,NA,5,NA,24,NA,NA,NA,0.1899999976,0.1899999976,NA,NA,NA,NA,NA,NA,NA,7.7800002098,0.8899999857,NA,NA,NA,NA,0,NA,NA,139,29,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2013-01-04 12:20:00,01,2013,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-11-17 15:20:00,11,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2012-02-05 14:45:00,02,2012,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2012-02-22 12:34:00,02,2012,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2014-01-21 15:55:00,01,2014,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
