State,District,Basin,Sub_Basin,Station_Name,Station_Type,Date,Month,Year,Agency_name,Latitude,Longitude,_24d,_as,_do,aldrin,alk_phen,alk_tot,b,barium,bhc,bod,bod3_27,ca,carbon_14,cd,chlf_a,cl,cn,co3,cocci,cod,cr,cu,data_gov_update_date,ddt,dieldrin,do_sat_,ec_fld,ec_gen,endos,f,fcol_mpn,fe,har_ca,har_mg,har_total,hco3,hg,k,mg,na,na_,nh3_n,ni,no2_n,no2_no3,no3_n,o_po4_p,org_n,p_tot,pah,pb,ph_fld,ph_gen,rsc,sar,secchi,sio2,sio3,so4,ss,tcol_mpn,tds,temp,toc,ts,turb,zn,_401,ag,al,colour_cod,d_o,d_o_,mn,odour_code,oxygen_18,pcb,ph,phenols,radon,se,strontium,tritium,uranium,no2__n,caco3,mgcaco3
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2014-06-06 11:59:00,06,2014,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2014-08-18 12:01:00,08,2014,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,6.3000001907,NA,0,101,NA,NA,NA,NA,2.7999999523,34,NA,NA,NA,26.3999996185,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,295,NA,0.2300000042,NA,NA,34,NA,NA,128.3999938965,NA,6.1999998093,3.0999999046,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9099998474,0.6100000143,NA,NA,NA,NA,0,NA,NA,142,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2014-12-19 15:46:00,12,2014,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,5,NA,20,70,NA,NA,NA,NA,NA,28,NA,NA,NA,76,NA,20,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,613,NA,NA,NA,NA,28,NA,NA,70,NA,14,17,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3299999237,1,NA,NA,NA,NA,47,NA,NA,392,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2012-10-10 12:16:00,10,2012,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,0,132.3999938965,NA,NA,NA,NA,2,22,NA,NA,NA,86.4000015259,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.8000001907,NA,392,NA,0.4399999976,NA,NA,26,12.3999996185,96,132.3999938965,NA,8.8999996185,8.3999996185,48.5999984741,NA,NA,NA,0.8000000119,0.8000000119,NA,NA,NA,NA,NA,NA,NA,7.8200001717,0.3199999928,NA,NA,NA,NA,NA,NA,NA,235,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2015-03-21 15:40:00,03,2015,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2015-05-05 15:13:00,05,2015,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2015-08-22 15:19:00,08,2015,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-05-17 15:10:00,05,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-07-17 15:11:00,07,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-08-20 15:12:00,08,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3.0999999046,NA,NA,NA,NA,25.7000007629,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.1999998093,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1899999976,0.1899999976,NA,NA,NA,0.1299999952,NA,NA,NA,7.8600001335,NA,NA,NA,NA,NA,NA,NA,NA,132,30,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2011-12-17 15:21:00,12,2011,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2016-02-12 12:28:00,02,2016,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2016-03-12 12:30:00,03,2016,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2008-11-06 11:36:00,11,2008,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,6.8000001907,NA,0,124.4400024414,NA,NA,NA,NA,2.7999999523,20,NA,NA,NA,79.1999969482,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.8000001907,NA,387,NA,0.5799999833,NA,NA,20,9.1999998093,92,124.4400024414,NA,6.4000000954,9.1999998093,38.4000015259,46.4700012207,NA,NA,0.1899999976,4.5,4.3099999428,NA,NA,NA,NA,NA,7.5399999619,7.5399999619,0.7300000191,1.7799999714,NA,NA,NA,0,NA,NA,176,30,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2016-06-12 11:33:00,06,2016,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2016-09-12 11:54:00,09,2016,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,7.1999998093,NA,0,59,NA,NA,NA,NA,NA,24,NA,NA,NA,39,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,130,59,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6599998474,-0.5500000119,NA,NA,NA,NA,NA,NA,NA,243,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2016-10-12 11:59:00,10,2016,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2008-01-17 15:13:00,01,2008,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2008-02-17 12:10:00,02,2008,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2008-03-08 11:00:00,03,2008,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2006-08-18 11:28:00,08,2006,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,6.0999999046,NA,0,134.1999969482,NA,NA,NA,NA,3.0999999046,32,NA,NA,NA,25.7399997711,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.0999999046,NA,286,NA,0.2099999934,NA,NA,32,2.9000000954,92,134.1999969482,NA,6,2.9000000954,23,33.4000015259,NA,NA,0.1899999976,2.7999999523,2.6099998951,NA,NA,NA,NA,NA,7.8899998665,7.8899998665,0.8399999738,1.0399999619,NA,NA,NA,0,NA,NA,136,30,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2006-11-03 11:44:00,11,2006,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2006-12-03 10:51:00,12,2006,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2017-09-12 12:29:00,09,2017,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,7.0999999046,NA,0,140,NA,NA,NA,NA,NA,40,NA,NA,NA,30,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,140,140,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8499999046,-0.4499999881,NA,NA,NA,NA,NA,NA,NA,246,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2018-01-17 14:41:00,01,2018,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,5.8000001907,NA,0,110,NA,NA,NA,NA,NA,24,NA,NA,NA,30,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,395,NA,NA,NA,NA,NA,NA,100,110,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5100002289,1,NA,NA,NA,NA,NA,NA,NA,252,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2019-11-13 15:36:00,11,2019,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,4.3000001907,NA,0,100,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5900001526,0.2599999905,NA,NA,NA,NA,NA,NA,NA,153,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,ELERU CANAL NEAR PHARMA CITY,Surface Water,2019-11-14 08:30:00,11,2019,CPCB,16.720398,81.108729,NA,NA,6.8000001907,NA,NA,NA,0.5,NA,NA,NA,1.7999999523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8000001907,NA,0.4600000083,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,GOSTANI RIVER SAMPLE BEFORE CONFLUENCE WITH M/S DELTA PAPER MILL EFFLUENTS VENDRA PALAKODERU (M),Surface Water,2019-11-14 08:30:00,11,2019,CPCB,16.582868,81.575972,NA,NA,3.7999999523,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8000001907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2019-12-11 09:23:00,12,2019,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,4.5,NA,0,120,NA,NA,NA,NA,NA,28,NA,NA,NA,20,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,135,120,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4899997711,0.0099999998,NA,NA,NA,NA,NA,NA,NA,198,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,RIVER VASISHTA (GODAVARI) DOWNSTREAM OF NARASAPURAM TOWN AFTER CONFLUENCE OF TOWN SEWAGE,Surface Water,2019-12-06 08:30:00,12,2019,CPCB,16.40845,81.699692,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2.7999999523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3000001907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,GOSTANI RIVER SAMPLE AFTER CONFLUENCE WITH M/S DELTA PAPEER MILL EFFLUENTS BENDRA PALAKODERU (M) BU,Surface Water,2020-01-17 08:30:00,01,2020,CPCB,16.580812,81.572122,NA,NA,2.7999999523,NA,NA,NA,0.0599999987,NA,NA,NA,8.6000003815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,1492,NA,0.2300000042,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1099999994,NA,NA,NA,2.1400001049,NA,NA,NA,NA,NA,NA,7.9000000954,NA,3.2699999809,NA,NA,NA,NA,NA,460,NA,NA,NA,53,31.8999996185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,KRISHNA CANAL AT HANUMAN NAGAR NEAR SAIBABA TEMPLE ELIRU,Surface Water,2020-01-17 08:30:00,01,2020,CPCB,16.752674,81.02373,NA,NA,5.5999999046,NA,NA,NA,0.0399999991,NA,NA,NA,1.8999999762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,1408,NA,0.2099999934,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1800000072,NA,NA,NA,5.6300001144,NA,NA,NA,NA,NA,NA,7.4000000954,NA,3.4800000191,NA,NA,NA,NA,NA,1100,NA,NA,NA,16,13.1999998093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2020-06-24 11:43:00,06,2020,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,4.5,NA,0,100,NA,NA,NA,NA,NA,31,NA,NA,NA,10,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,290,290,NA,NA,NA,NA,31,15,160,100,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5999999046,7.6900000572,-0.7799999714,NA,NA,NA,NA,NA,NA,NA,185,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,COLLING WATER BLOWDOWNS FROM ANDHRA SUGARS LTD TANUKU BEFORE JOINING RIVER GODAVARI,Surface Water,2020-06-13 08:30:00,06,2020,CPCB,16.730168,81.677227,NA,NA,5.5999999046,NA,NA,NA,0.0099999998,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,436,NA,0.5899999738,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999993,NA,NA,NA,1.3400000334,NA,NA,NA,NA,NA,NA,7.8000001907,NA,1.5499999523,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,2.5399999619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,KOLLERU LAKE KOKKIRAYALANKA (V) KAILALUR (M),Surface Water,2020-06-13 08:30:00,06,2020,CPCB,16.654513,81.218715,NA,NA,3,NA,NA,NA,0.0399999991,NA,NA,NA,4.1999998093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,8800,NA,0.7099999785,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0099999998,NA,NA,NA,8.4399995804,NA,NA,NA,NA,NA,NA,7.8000001907,NA,25.6000003815,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,33.0999984741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,NA,NA,GODAVARI AT RAJAHMUNDRY U/S KUMARADEVAM EAST GODAVARI,Surface Water,2020-08-11 08:30:00,08,2020,CPCB,17.069466,81.711134,NA,NA,6.5,NA,NA,NA,0.0099999998,NA,NA,NA,1.3999999762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,183,NA,0.1199999973,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0399999991,NA,NA,NA,2.7300000191,NA,NA,NA,NA,NA,NA,7.5999999046,NA,0.3100000024,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,70.4300003052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
